USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
bikennepal        5141   9.4  2.7 508057216 445040   ??  Ss   11:02AM   3:40.89 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
_windowserver      645   1.2  0.8 436965104 135952   ??  Ss   10:05AM  10:07.39 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
bikennepal         977   0.0  0.8 441881200 129536   ??  S    10:05AM   0:04.42 /Applications/Ollama.app/Contents/MacOS/Ollama hidden
bikennepal         976   0.0  1.2 436608784 195952   ??  S    10:05AM   0:09.62 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
bikennepal         973   0.0  0.1 435354976  23248   ??  S    10:05AM   0:00.43 /System/Library/PrivateFrameworks/IMDPersistence.framework/XPCServices/IMDPersistenceAgent.xpc/Contents/MacOS/IMDPersistenceAgent
bikennepal         975   0.0  0.1 435369408  19296   ??  Ss   10:05AM   0:00.28 /System/Library/Input Methods/PressAndHold.app/Contents/PlugIns/PAH_Extension.appex/Contents/MacOS/PAH_Extension -AppleLanguages ("en-IN")
bikennepal         974   0.0  0.2 435383136  29264   ??  S    10:05AM   0:03.54 /System/Library/PrivateFrameworks/TextInputUIMacHelper.framework/Versions/A/XPCServices/CursorUIViewService.xpc/Contents/MacOS/CursorUIViewService
root               971   0.0  0.0 435342304   6464   ??  Ss   10:05AM   0:00.79 /usr/libexec/kernelmanager_helper
bikennepal         932   0.0  0.0 435306768   5136   ??  S    10:05AM   0:00.06 /System/Library/Frameworks/ManagedSettings.framework/Versions/A/ManagedSettingsAgent
root               970   0.0  0.0 435306576   3008   ??  Ss   10:05AM   0:00.02 /Library/Apple/System/Library/PrivateFrameworks/DeviceInterface.framework/Support/deviceinterfaced
bikennepal         969   0.0  0.1 435647072  13984   ??  S    10:05AM   0:00.24 /System/Library/PrivateFrameworks/ReplicatorCore.framework/Support/replicatord
_ctkd              967   0.0  0.0 435305456   2688   ??  Ss   10:05AM   0:00.05 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -st
bikennepal         966   0.0  0.1 435338960   8656   ??  S    10:05AM   0:00.08 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -tw
bikennepal         965   0.0  0.1 435351760  14736   ??  S    10:05AM   0:00.31 /usr/libexec/transparencyd
bikennepal         963   0.0  0.3 435552624  47376   ??  S    10:05AM   0:00.22 /System/Library/PrivateFrameworks/AccessibilitySupport.framework/Versions/A/Resources/AccessibilityVisualsAgent.app/Contents/MacOS/AccessibilityVisualsAgent
_oahd              962   0.0  0.0 435301040   2576   ??  Ss   10:05AM   0:00.02 /usr/libexec/rosetta/oahd
bikennepal         960   0.0  0.0 435338976   4064   ??  S    10:05AM   0:00.09 /System/Library/PrivateFrameworks/IntlPreferences.framework/Support/localizationswitcherd
_gamecontrollerd   822   0.0  0.0 435305680   5040   ??  Ss   10:05AM   0:00.35 /usr/libexec/gamecontrollerd
bikennepal         954   0.0  0.0 435338288   8384   ??  S    10:05AM   0:00.07 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
bikennepal         958   0.0  0.1 435382000  23696   ??  S    10:05AM   0:00.37 /System/Library/CoreServices/TextInputSwitcher.app/Contents/MacOS/TextInputSwitcher
bikennepal         956   0.0  0.0 435304960   5712   ??  S    10:05AM   0:00.04 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
bikennepal         953   0.0  0.1 435356864  19568   ??  S    10:05AM   0:00.93 /usr/libexec/replayd
bikennepal         959   0.0  0.1 435346496  19072   ??  S    10:05AM   0:00.80 /System/Library/Frameworks/Contacts.framework/Support/contactsd
bikennepal         955   0.0  0.1 435342544  14976   ??  S    10:05AM   0:01.10 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
bikennepal         936   0.0  0.1 435342976  21760   ??  S    10:05AM   0:00.14 /System/Library/CoreServices/audioaccessoryd
bikennepal         950   0.0  0.1 435343424  10800   ??  S    10:05AM   0:00.09 /usr/libexec/intelligentroutingd
bikennepal         948   0.0  0.1 435347520  17536   ??  S    10:05AM   0:00.46 /System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent
bikennepal         947   0.0  0.0 435349104   7104   ??  S    10:05AM   0:00.08 /System/Library/CoreServices/pbs
bikennepal         919   0.0  2.0 457073328 339280   ??  S    10:05AM   0:38.37 openclaw-gateway    
bikennepal         927   0.0  0.1 436593552  12720   ??  S    10:05AM   0:00.04 Contents/Frameworks/Squirrel.framework/Versions/A/Squirrel background
_nearbyd           952   0.0  0.1 435351904  12928   ??  Ss   10:05AM   0:00.71 /usr/libexec/nearbyd
bikennepal         951   0.0  0.3 435367728  53600   ??  S    10:05AM   0:02.01 /System/Library/PrivateFrameworks/ChronoCore.framework/Support/chronod
bikennepal         916   0.0  0.1 435393296  22160   ??  S    10:05AM   0:01.43 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
bikennepal         944   0.0  0.1 435347840  12432   ??  S    10:05AM   0:00.19 /usr/libexec/findmylocateagent
bikennepal         924   0.0  0.0 435338960   5584   ??  S    10:05AM   0:00.04 /System/Library/Image Capture/Support/icdd
bikennepal         934   0.0  0.2 435346464  28240   ??  S    10:05AM   0:00.64 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
bikennepal         925   0.0  3.1 443382560 524672   ??  S    10:05AM   0:31.46 /opt/homebrew/opt/openjdk@21/bin/java -Dmail.smtp.starttls.enable=true -jar /opt/homebrew/opt/jenkins-lts/libexec/jenkins.war --httpListenAddress=127.0.0.1 --httpPort=8080
bikennepal         943   0.0  0.0 435304768   4224   ??  S    10:05AM   0:00.02 /System/Library/PrivateFrameworks/CommunicationsFilter.framework/CMFSyncAgent
bikennepal         946   0.0  0.0 435339184   3120   ??  Ss   10:05AM   0:00.03 /System/Library/PrivateFrameworks/CSExattrCrypto.framework/Versions/A/XPCServices/CSExattrCryptoService.xpc/Contents/MacOS/CSExattrCryptoService
bikennepal         930   0.0  0.3 435378528  55136   ??  S    10:05AM   0:01.29 /usr/libexec/sharingd
bikennepal         915   0.0  0.2 435346736  31120   ??  S    10:05AM   0:00.26 /System/Library/PrivateFrameworks/HearingCore.framework/heard
bikennepal         914   0.0  0.1 435366672  20112   ??  Ss   10:05AM   0:01.66 /System/Library/ExtensionKit/Extensions/WallpaperAerialsExtension.appex/Contents/MacOS/WallpaperAerialsExtension -LaunchArguments eyJ0eXBlIjoxLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUud2FsbHBhcGVyLmV4dGVuc2lvbi5hZXJpYWxzIn0=
bikennepal         933   0.0  0.1 435367328  15728   ??  S    10:05AM   0:00.13 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent --launchd
bikennepal         938   0.0  0.3 435553072  46464   ??  S    10:05AM   0:00.29 /System/Library/CoreServices/TextInputMenuAgent.app/Contents/MacOS/TextInputMenuAgent
bikennepal         921   0.0  0.1 435344448   8912   ??  S    10:05AM   0:00.05 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
root               945   0.0  0.0 435340352   6512   ??  Ss   10:05AM   0:00.04 /usr/libexec/findmydeviced
bikennepal         913   0.0  0.0 435338928   6704   ??  Ss   10:05AM   0:00.02 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
root               912   0.0  0.0 435301616   2496   ??  Ss   10:05AM   0:00.01 /usr/libexec/wallpaperexportd
bikennepal         911   0.0  0.1 435345200   8704   ??  S    10:05AM   0:00.13 /System/Library/PrivateFrameworks/CommunicationTrust.framework/Support/communicationtrustd
bikennepal         910   0.0  0.1 435354416  12752   ??  S    10:05AM   0:00.36 /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd
bikennepal         907   0.0  0.2 435517088  37904   ??  S    10:05AM   0:00.17 /System/Library/PrivateFrameworks/SoftwareUpdate.framework/Resources/SoftwareUpdateNotificationManager.app/Contents/MacOS/SoftwareUpdateNotificationManager
bikennepal         909   0.0  0.1 435355248  17920   ??  S    10:05AM   0:00.34 /System/Library/PrivateFrameworks/DoNotDisturbServer.framework/Support/donotdisturbd
root               905   0.0  0.0 435304816   3200   ??  Ss   10:05AM   0:00.03 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp -d
root               908   0.0  0.0 435300352   2336   ??  Ss   10:05AM   0:00.02 /System/Library/PrivateFrameworks/FindMyMac.framework/Resources/FindMyMacd
bikennepal         906   0.0  0.4 435622512  68752   ??  S    10:05AM   0:03.12 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
bikennepal         904   0.0  0.1 435339744   9776   ??  S    10:05AM   0:01.30 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted
bikennepal         903   0.0  0.0 435304320   6256   ??  S    10:05AM   0:00.08 /System/Library/PrivateFrameworks/CoreCDP.framework/Versions/A/Resources/cdpd
bikennepal         902   0.0  0.1 435413616  12352   ??  S    10:05AM   0:00.95 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
bikennepal         901   0.0  0.2 435344768  41552   ??  S    10:05AM   0:00.88 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
bikennepal         899   0.0  0.2 435360544  28112   ??  S    10:05AM   0:00.84 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
bikennepal         897   0.0  0.1 435350320  14736   ??  S    10:05AM   0:00.32 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
bikennepal         896   0.0  0.1 435362464  12352   ??  S    10:05AM   0:00.75 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
root               898   0.0  0.0 435304928   2368   ??  Ss   10:05AM   0:00.02 /usr/sbin/systemsoundserverd
_appleevents       857   0.0  0.0 435305280   2112   ??  S    10:05AM   0:00.26 /usr/sbin/distnoted agent
bikennepal         895   0.0  0.3 435579456  51536   ??  S    10:05AM   0:09.05 /System/Library/CoreServices/iconservicesagent
bikennepal         894   0.0  0.2 435381200  30592   ??  S    10:05AM   0:00.89 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
bikennepal         885   0.0  0.3 435515952  42880   ??  S    10:05AM   0:00.17 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
bikennepal         868   0.0  0.1 435342672  10784   ??  S    10:05AM   0:00.31 /System/Library/PrivateFrameworks/OnDeviceStorage.framework/Support/amsondevicestoraged
bikennepal         887   0.0  0.2 435423936  31152   ??  S    10:05AM   0:01.81 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
bikennepal         869   0.0  0.1 435352912  22080   ??  S    10:05AM   0:00.61 /usr/sbin/usernoted
bikennepal         861   0.0  0.1 435344048  10720   ??  S    10:05AM   0:00.18 /usr/libexec/dmd
bikennepal         881   0.0  0.1 435358992  15424   ??  S    10:05AM   0:00.25 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
bikennepal         893   0.0  0.1 435339728  14064   ??  S    10:05AM   0:02.80 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
bikennepal         877   0.0  0.1 435340368  11424   ??  S    10:05AM   0:00.93 /System/Library/PrivateFrameworks/iCloudDriveCore.framework/Versions/A/Support/bird
bikennepal         876   0.0  0.0 435305200   3392   ??  S    10:05AM   0:00.02 /System/Library/CoreServices/APFSUserAgent
bikennepal         883   0.0  0.0 435350800   7776   ??  S    10:05AM   0:00.06 /System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent --launchd
_cmiodalassistants   892   0.0  0.0 435338640   3744   ??  S    10:05AM   0:00.07 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
bikennepal         874   0.0  0.0 435343744   7808   ??  S    10:05AM   0:00.26 /System/Library/PrivateFrameworks/MobileTimer.framework/Executables/mobiletimerd
bikennepal         866   0.0  0.2 435347840  25664   ??  S    10:05AM   0:01.27 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
bikennepal         872   0.0  0.1 435340592   9536   ??  S    10:05AM   0:00.08 /System/Library/PrivateFrameworks/SessionCore.framework/Support/liveactivitiesd
bikennepal         870   0.0  0.0 435339744   6704   ??  S    10:05AM   0:01.30 /System/Library/CoreServices/lockoutagent
bikennepal         875   0.0  0.1 435340704  21040   ??  S    10:05AM   0:01.23 /usr/libexec/siriknowledged
bikennepal         860   0.0  0.1 435350640  20080   ??  S    10:05AM   0:00.97 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
bikennepal         890   0.0  0.1 435346128  16928   ??  S    10:05AM   0:00.44 /System/Library/PrivateFrameworks/CalendarDaemon.framework/Support/calaccessd
bikennepal         865   0.0  0.1 435379040  10704   ??  S    10:05AM   0:00.74 /usr/libexec/secinitd
bikennepal         886   0.0  0.0 435305568   6400   ??  S    10:05AM   0:00.10 /System/Library/PrivateFrameworks/SocialLayer.framework/sociallayerd.app/Contents/MacOS/sociallayerd
bikennepal         888   0.0  0.1 435349872  13168   ??  S    10:05AM   0:01.51 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
bikennepal         880   0.0  0.1 435340496  19856   ??  S    10:05AM   0:00.36 /System/Library/CoreServices/sharedfilelistd
bikennepal         882   0.0  0.1 435349600  19360   ??  S    10:05AM   0:00.73 /usr/libexec/pkd
bikennepal         873   0.0  0.2 435394464  40496   ??  S    10:05AM   0:32.88 /System/Library/PrivateFrameworks/VoiceShortcuts.framework/Versions/A/Support/siriactionsd
bikennepal         867   0.0  0.3 435551920  48032   ??  S    10:05AM   0:00.29 /System/Library/CoreServices/AccessibilityUIServer.app/Contents/MacOS/AccessibilityUIServer
root               879   0.0  0.0 435306384   2016   ??  Ss   10:05AM   0:00.02 automountd
root               871   0.0  0.1 435315936  13232   ??  Ss   10:05AM   0:00.68 /usr/sbin/filecoordinationd
bikennepal         864   0.0  0.2 435394672  30960   ??  S    10:05AM   0:00.38 /System/Library/CoreServices/WallpaperAgent.app/Contents/MacOS/WallpaperAgent
bikennepal         862   0.0  0.2 435882608  39968   ??  S    10:05AM   0:01.16 /System/Library/Frameworks/QuickLookThumbnailing.framework/Support/com.apple.quicklook.ThumbnailsAgent
bikennepal         863   0.0  0.1 435303712  17264   ??  Ss   10:05AM   0:00.12 /System/Library/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
bikennepal         859   0.0  0.0 435305312   4096   ??  S    10:05AM   0:00.55 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
_cmiodalassistants   858   0.0  0.0 435340784   5456   ??  S    10:05AM   0:00.12 /usr/libexec/trustd --agent
bikennepal         855   0.0  0.1 435352448  21888   ??  S    10:05AM   0:00.34 /usr/libexec/rapportd
bikennepal         856   0.0  0.0 435305376   1696   ??  S    10:05AM   0:00.01 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/XPCServices/csnameddatad.xpc/Contents/MacOS/csnameddatad
_cmiodalassistants   854   0.0  0.0 435305776   1904   ??  S    10:05AM   0:00.04 /usr/sbin/cfprefsd agent
bikennepal         849   0.0  0.1 435353008  19440   ??  S    10:05AM   0:00.25 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
bikennepal         850   0.0  0.1 435343344  12656   ??  S    10:05AM   0:00.61 /usr/libexec/nsurlsessiond
bikennepal         848   0.0  0.1 435370336  24992   ??  S    10:05AM   0:00.76 /usr/libexec/linkd
bikennepal         851   0.0  0.1 435344816  16560   ??  S    10:05AM   0:00.76 /usr/libexec/secd
bikennepal         846   0.0  0.1 435343216  17600   ??  S    10:05AM   0:05.37 /usr/libexec/trustd --agent
bikennepal         847   0.0  0.9 435752656 147824   ??  S    10:05AM   0:15.10 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
bikennepal         845   0.0  0.3 435575808  51568   ??  S    10:05AM   0:00.52 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
root               843   0.0  0.0 435375120   4032   ??  Ss   10:05AM   0:00.01 /System/Library/PrivateFrameworks/WiFiPolicy.framework/XPCServices/WiFiCloudAssetsXPCService.xpc/Contents/MacOS/WiFiCloudAssetsXPCService
bikennepal         844   0.0  0.4 435625584  70864   ??  S    10:05AM   0:17.31 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
_cmiodalassistants   840   0.0  0.0 435339744   4016   ??  S    10:05AM   0:00.05 /usr/libexec/secinitd
bikennepal         842   0.0  0.2 435406816  33568   ??  S    10:05AM   0:01.91 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
bikennepal         841   0.0  0.1 435366688  18784   ??  S    10:05AM   0:02.43 /System/Library/CoreServices/talagentd
_cmiodalassistants   839   0.0  0.1 435341520  13664   ??  S    10:05AM   0:00.28 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
root               838   0.0  0.1 435345072  11952   ??  Ss   10:05AM   0:00.63 /usr/libexec/wifip2pd
bikennepal         837   0.0  0.1 435350288  16480   ??  S    10:05AM   0:00.85 /usr/libexec/lsd
bikennepal         836   0.0  0.1 435340000  16688   ??  S    10:05AM   0:03.93 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/BiomeAgent
bikennepal         834   0.0  0.1 435338160   9104   ??  S    10:05AM   0:00.98 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
bikennepal         835   0.0  0.1 435315520  10560   ??  S    10:05AM   0:00.14 /usr/libexec/pboard
_spotlight         819   0.0  0.0 435305216   2096   ??  S    10:05AM   0:00.25 /usr/sbin/distnoted agent
bikennepal         832   0.0  0.2 435349280  26944   ??  S    10:05AM   0:00.56 /usr/libexec/knowledge-agent
bikennepal         821   0.0  0.1 435341248  24176   ??  S    10:05AM   0:01.07 /usr/libexec/UserEventAgent (Aqua)
bikennepal         829   0.0  0.1 435339872   9888   ??  S    10:05AM   0:00.10 /usr/libexec/ContinuityCaptureAgent server
bikennepal         828   0.0  0.1 435348432  12496   ??  S    10:05AM   0:00.37 /usr/libexec/neagent
bikennepal         824   0.0  0.2 435375264  26928   ??  S    10:05AM   0:06.58 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
bikennepal         830   0.0  0.2 435534224  36544   ??  S    10:05AM   0:00.41 /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
root               820   0.0  0.0 435305776   2528   ??  Ss   10:05AM   0:00.05 /System/Library/PrivateFrameworks/CoreKDL.framework/Support/corekdld
bikennepal         816   0.0  0.0 435306400   7120   ??  S    10:05AM   0:03.80 /usr/sbin/cfprefsd agent
root               813   0.0  0.0 435304768   1920   ??  Ss   10:05AM   0:00.03 /usr/libexec/applekeystored
root               812   0.0  0.0 435339152   7568   ??  Ss   10:05AM   0:00.05 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
_nsurlsessiond     808   0.0  0.0 435304832   2080   ??  S    10:05AM   0:00.24 /usr/sbin/distnoted agent
root               807   0.0  0.0 435305920   3008   ??  S    10:05AM   0:00.37 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
root               806   0.0  0.1 435341664  12512   ??  Ss   10:05AM   0:00.28 /usr/libexec/rtcreportingd
_mds_stores        805   0.0  0.4 440816496  59984   ??  Ss   10:05AM   0:05.46 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
root               804   0.0  0.1 435339392   9856   ??  Ss   10:05AM   0:00.36 /System/Library/CoreServices/osanalyticshelper server-init
root               803   0.0  0.0 435306480   6800   ??  Ss   10:05AM   0:00.06 /System/Library/Frameworks/GSS.framework/Helpers/GSSCred
_softwareupdate    802   0.0  0.0 435305600   2064   ??  S    10:05AM   0:00.26 /usr/sbin/distnoted agent
root               801   0.0  0.1 435363952  14880   ??  Ss   10:05AM   0:00.18 /usr/libexec/searchpartyd
_cmiodalassistants   799   0.0  0.0 435339712   6576   ??  Ss   10:05AM   0:00.06 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
_cmiodalassistants   798   0.0  0.0 435338512   4624   ??  Ss   10:05AM   0:00.06 /usr/libexec/cameracaptured
root               796   0.0  0.1 436579456  11312   ??  Ss   10:05AM   0:00.04 /Library/PrivilegedHelperTools/com.docker.vmnetd
root               797   0.0  0.1 435340240   8576   ??  Ss   10:05AM   0:01.40 /usr/libexec/triald_system
root               794   0.0  0.1 435349632  11120   ??  Ss   10:05AM   0:00.34 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
_locationd         793   0.0  0.0 435337952   3776   ??  S    10:05AM   0:00.05 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
_audiomxd          788   0.0  0.0 435305072   2096   ??  S    10:05AM   0:00.25 /usr/sbin/distnoted agent
root               790   0.0  0.0 435301728   3120   ??  Ss   10:05AM   0:00.02 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
_locationd         789   0.0  0.0 435340720   6096   ??  S    10:05AM   0:00.10 /usr/libexec/trustd --agent
_softwareupdate    787   0.0  0.1 435367216  12512   ??  Ss   10:05AM   0:00.31 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
root               786   0.0  0.1 435340480  11136   ??  Ss   10:05AM   0:00.24 /System/Library/PrivateFrameworks/BackgroundTaskManagement.framework/Resources/backgroundtaskmanagementd -daemon
root               784   0.0  0.0 435339680   8368   ??  Ss   10:05AM   0:00.15 /usr/libexec/wifianalyticsd
root               783   0.0  0.0 435305056   3168   ??  Ss   10:05AM   0:00.03 /usr/libexec/bootinstalld
_locationd         782   0.0  0.0 435305072   1888   ??  S    10:05AM   0:00.05 /usr/sbin/cfprefsd agent
_cmiodalassistants   780   0.0  0.0 435344576   4800   ??  Ss   10:05AM   0:00.05 /usr/libexec/com.apple.cmio.videodriverkithostextension.systemextension/Contents/MacOS/com.apple.cmio.videodriverkithostextension
_cmiodalassistants   781   0.0  0.0 435343664   6016   ??  Ss   10:05AM   0:00.52 /usr/sbin/appleh13camerad
_locationd         779   0.0  0.0 435339616   4016   ??  S    10:05AM   0:00.05 /usr/libexec/secinitd
root               778   0.0  0.1 435413568  10976   ??  S    10:05AM   0:00.64 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
_locationd         776   0.0  0.0 435304912   2096   ??  S    10:05AM   0:00.27 /usr/sbin/distnoted agent
_locationd         775   0.0  0.1 435342080  14896   ??  S    10:05AM   0:00.54 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
root               777   0.0  0.0 435310160   3520   ??  Ss   10:05AM   0:00.06 /System/Library/PrivateFrameworks/PowerLog.framework/Versions/A/XPCServices/PerfPowerTelemetryClientRegistrationService.xpc/Contents/MacOS/PerfPowerTelemetryClientRegistrationService
root               773   0.0  0.0 435340464   8304   ??  Ss   10:05AM   0:03.07 /System/Library/PrivateFrameworks/ModelCatalogRuntime.framework/Versions/A/modelcatalogd
root               772   0.0  0.0 435305232   4544   ??  Ss   10:05AM   0:00.02 /usr/libexec/ApplicationFirewall/socketfilterfw
_neuralengine      766   0.0  0.0 435338720   3344   ??  Ss   10:05AM   0:00.04 /usr/libexec/aneuserd
root               767   0.0  0.1 435340240   9184   ??  Ss   10:05AM   0:00.54 /usr/libexec/aned
_appleevents       768   0.0  0.0 435339808   5952   ??  Ss   10:05AM   0:00.12 /System/Library/CoreServices/appleeventsd --server
root               770   0.0  0.0 435306416   3120   ??  Ss   10:05AM   0:00.29 /usr/sbin/mDNSResponderHelper
_iconservices      596   0.0  0.0 435339424   5520   ??  Ss   10:05AM   0:00.86 /System/Library/CoreServices/iconservicesd
root               765   0.0  0.0 435338736   5536   ??  Ss   10:05AM   0:00.13 /usr/libexec/securityd_system
root               763   0.0  0.0 435339296   4896   ??  Ss   10:05AM   0:00.05 /usr/libexec/findmybeaconingd
root               764   0.0  0.0 435340256   7952   ??  Ss   10:05AM   0:00.21 /System/Library/CoreServices/TimeMachine/backupd
root               761   0.0  0.0 435339536   5296   ??  Ss   10:05AM   0:00.06 /usr/libexec/mobileactivationd
root               760   0.0  0.0 435340256   6496   ??  Ss   10:05AM   0:00.68 /usr/sbin/WirelessRadioManagerd
_modelmanagerd     759   0.0  0.1 435361648  17728   ??  Ss   10:05AM   0:00.27 /usr/libexec/modelmanagerd
root               758   0.0  0.0 435304960   4752   ??  Ss   10:05AM   0:00.17 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
root               757   0.0  0.0 435304592   3312   ??  Ss   10:05AM   0:00.04 /usr/libexec/colorsyncd
root               756   0.0  0.0 435339568   3648   ??  Ss   10:05AM   0:00.06 /System/Library/Frameworks/SystemExtensions.framework/Versions/A/Helpers/sysextd
_coreaudiod        751   0.0  0.0 435338768   3600   ??  Ss   10:05AM   0:00.01 /System/Library/PrivateFrameworks/AppleDeviceQuerySupport.framework/Versions/A/XPCServices/AppleDeviceQueryService.xpc/Contents/MacOS/AppleDeviceQueryService
root               750   0.0  0.0 435300992   1776   ??  Ss   10:05AM   0:00.01 /System/Library/Frameworks/ColorSync.framework/Versions/A/XPCServices/com.apple.ColorSyncXPCAgent.xpc/Contents/MacOS/com.apple.ColorSyncXPCAgent
root               749   0.0  0.0 435338896   8128   ??  Ss   10:05AM   0:00.49 /usr/libexec/audioanalyticsd
_driverkit         748   0.0  0.0 435239872   3920   ??  Ss   10:05AM   0:00.08 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers com.apple.driverkit.AppleUserHIDDrivers 0x100000d3e com.apple.AppleUserHIDDrivers
root               747   0.0  0.0 435305360   2576   ??  Ss   10:05AM   0:00.03 /usr/libexec/colorsync.displayservices
_biome             746   0.0  0.1 435339168   9888   ??  Ss   10:05AM   0:00.40 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/biomed
_driverkit         745   0.0  0.0 435239952   3168   ??  Ss   10:05AM   0:00.01 /System/Library/DriverExtensions/com.apple.DriverKit-IOUserDockChannelSerial.dext/com.apple.DriverKit-IOUserDockChannelSerial com.apple.IOUserDockChannelSerial 0x100000d3c com.apple.DriverKit-IOUserDockChannelSerial
